ID,oldID,fecha,intensidad,ocupacion,vmed,periodo_integracion,KM,densidad,Hora
6702,PM12921,2015-08-04 07:00,1364.0,10.0,54.0,15,29.2,25.25925925925926,7.0
3510,PM12961,2015-08-04 07:00,1324.0,5.0,60.0,15,29.6,22.066666666666666,7.0
6641,PM10021,2015-08-04 07:00,0.0,0.0,0.0,15,0.2,,7.0
6642,PM10091,2015-08-04 07:00,0.0,0.0,0.0,15,0.9,,7.0
6644,PM10141,2015-08-04 07:00,1587.0,4.0,94.0,15,1.4,16.882978723404257,7.0
6646,PM10211,2015-08-04 07:00,1480.0,3.0,96.0,15,2.1,15.416666666666666,7.0
6650,PM10341,2015-08-04 07:00,1699.0,4.0,93.0,15,3.4,18.268817204301076,7.0
6654,PM10401,2015-08-04 07:00,1852.0,3.0,95.0,15,4.0,19.49473684210526,7.0
6661,PM10471,2015-08-04 07:00,1645.0,3.0,94.0,15,4.7,17.5,7.0
3818,PM10501,2015-08-04 07:00,1616.0,4.0,93.0,15,5.0,17.376344086021504,7.0
3820,PM10561,2015-08-04 07:00,2416.0,6.0,92.0,15,5.6,26.26086956521739,7.0
3816,PM10901,2015-08-04 07:00,1933.0,5.0,90.0,15,9.0,21.477777777777778,7.0
6672,PM10941,2015-08-04 07:00,1959.0,5.0,90.0,15,9.4,21.766666666666666,7.0
6679,PM11071,2015-08-04 07:00,3179.0,6.0,92.0,15,10.7,34.55434782608695,7.0
6696,PM12471,2015-08-04 07:00,2524.0,4.0,89.0,15,24.7,28.359550561797754,7.0
6698,PM12571,2015-08-04 07:00,896.0,4.0,82.0,15,25.7,10.926829268292684,7.0
6703,PM12981,2015-08-04 07:00,1280.0,10.0,58.0,15,29.8,22.06896551724138,7.0
6704,PM13011,2015-08-04 07:00,1017.0,7.0,63.0,15,30.1,16.142857142857142,7.0
6706,PM13041,2015-08-04 07:00,935.0,13.0,69.0,15,30.4,13.55072463768116,7.0
6708,PM13101,2015-08-04 07:00,1160.0,6.0,75.0,15,31.0,15.466666666666667,7.0
6711,PM13181,2015-08-04 07:00,724.0,2.0,77.0,15,31.8,9.402597402597403,7.0
7130,PM13211,2015-08-04 07:00,608.0,3.0,69.0,15,32.1,8.81159420289855,7.0
7013,PM13221,2015-08-04 07:00,444.0,5.0,66.0,15,32.2,6.7272727272727275,7.0
6639,PM10001,2015-08-04 07:00,1528.0,6.0,90.0,15,0.0,16.977777777777778,7.0
6650,PM10341,2015-08-04 07:15,2272.0,5.0,94.0,15,3.4,24.170212765957448,7.15
